[MASTER] 03:21:24.385 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:25.370 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:25.846 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:26.050 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:32.296 [logback-2] ERROR TestCluster - Failed to check cache for org.sat4j.minisat.core.Solver<D> : Type points to itself
[MASTER] 03:21:39.441 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 8), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:41.703 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:42.083 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:42.620 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:47.369 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 8), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:47.404 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:50.046 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:50.503 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:51.318 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:52.602 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:52.680 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:54.845 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:56.839 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:58.289 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 4), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:59.663 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:21:59.907 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:00.855 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 8), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:01.953 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:04.167 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:04.772 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:05.666 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:07.597 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:08.302 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:10.091 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:10.694 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 7), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
[MASTER] 03:22:12.258 [logback-2] ERROR AbstractStatement - Error assigning value of type Solver[] defined at statement Solver<MixedDataStructureDanielWLConciseBinary>[] solverArray0 = (Solver<MixedDataStructureDanielWLConciseBinary>[]) Array.newInstance(Solver.class, 1), assignment statement: solverArray0[0] = (Solver<MixedDataStructureDanielWLConciseBinary>) solverArray0; SUT=org.sat4j.tools.SearchMinOneListener
